,In1,In3,In4,Out1
776,0.0,0.5,1.0,0.5
777,0.75,1.0,0.0,0.75
778,0.75,0.5,1.0,0.5
779,0.25,0.25,0.25,0.0
780,0.25,0.0,1.0,0.5
781,0.5,0.75,0.75,0.5
782,0.25,0.5,0.0,0.0
783,0.5,0.0,0.0,0.5
784,0.5,0.0,0.75,0.75
785,1.0,1.0,0.25,0.75
786,1.0,0.5,0.0,0.5
787,0.0,1.0,0.25,0.75
788,0.0,0.25,0.75,0.25
789,0.75,0.75,0.0,0.75
790,0.75,1.0,0.0,1.0
791,0.25,0.5,0.0,0.25
792,0.25,0.0,0.25,0.25
793,0.5,0.0,0.0,0.0
794,0.5,0.75,0.5,1.0
795,0.75,0.25,0.5,0.75
796,1.0,0.25,1.0,0.5
797,0.5,1.0,0.5,0.75
798,0.5,0.5,1.0,0.5
799,0.5,0.0,0.0,0.5
800,0.75,0.0,0.5,0.5
801,0.75,0.75,0.0,1.0
802,0.75,0.5,0.5,0.5
803,0.5,0.25,0.0,0.75
804,0.0,0.75,0.0,0.0
805,0.25,1.0,0.5,0.5
806,0.0,0.5,0.75,0.75
807,0.75,0.5,0.0,0.25
808,0.25,0.0,1.0,0.5
809,0.5,0.75,0.75,0.75
810,0.5,0.0,0.75,0.5
811,0.75,0.5,1.0,0.5
812,0.5,0.25,0.5,0.25
813,0.5,0.0,0.0,0.25
814,0.0,1.0,0.75,0.25
815,0.75,0.5,1.0,0.5
816,0.5,0.5,0.25,0.5
817,0.0,0.5,0.5,0.25
818,1.0,0.75,0.25,0.5
819,0.5,0.75,1.0,0.5
820,0.25,0.0,1.0,0.5
821,0.5,0.0,0.0,0.25
822,1.0,0.5,0.0,0.25
823,0.5,0.5,0.75,0.5
824,1.0,0.75,0.25,0.25
825,0.25,0.25,0.25,0.0
826,0.25,0.25,0.25,0.25
827,0.5,0.75,0.75,0.5
828,0.0,0.0,0.0,0.25
829,0.25,1.0,0.5,0.5
830,0.75,1.0,0.25,0.75
831,0.0,0.25,0.5,0.25
832,0.25,0.5,0.25,0.5
833,0.5,0.5,0.25,0.75
834,0.25,0.75,0.25,0.0
835,0.0,0.75,0.0,0.0
836,0.75,0.5,0.5,0.5
837,0.75,0.25,0.0,0.25
838,0.25,0.25,0.75,0.0
839,0.75,0.5,0.5,0.75
840,0.5,0.75,0.5,0.5
841,1.0,1.0,0.75,0.75
842,0.0,1.0,0.5,0.5
843,0.5,0.5,0.75,0.5
844,1.0,0.75,0.25,0.5
845,0.75,0.75,0.25,0.75
846,0.5,1.0,0.25,0.5
847,0.75,0.0,0.5,0.75
848,0.5,0.25,0.0,0.5
849,0.25,1.0,0.25,0.25
850,0.5,0.5,0.5,0.25
851,0.25,0.0,1.0,0.25
852,0.0,0.75,0.75,0.5
853,0.25,0.75,0.25,0.0
854,1.0,0.0,1.0,0.5
855,1.0,0.0,0.5,0.25
856,1.0,0.75,0.25,0.5
857,0.25,0.25,0.75,0.25
858,0.5,0.25,0.0,0.5
859,0.25,1.0,0.25,0.25
860,0.75,0.5,0.5,0.25
861,1.0,0.75,0.25,0.5
862,0.5,0.5,0.25,0.5
863,0.25,0.5,0.25,0.5
864,0.0,0.0,0.25,0.25
865,0.25,0.75,0.0,0.25
866,0.0,0.5,0.5,0.25
867,0.5,0.0,1.0,0.5
868,0.0,0.25,0.75,0.5
869,0.0,0.75,0.0,0.0
870,0.0,1.0,0.25,0.5
871,0.0,1.0,0.5,0.75
872,0.0,0.0,0.0,0.25
873,0.0,0.25,0.5,0.5
874,0.0,0.25,0.0,0.0
875,0.5,0.0,1.0,0.5
876,0.75,0.25,0.0,0.5
877,0.0,0.5,0.5,0.25
878,0.25,0.5,0.25,0.5
879,0.5,0.0,0.5,0.75
880,0.0,0.25,0.0,0.0
881,0.75,1.0,0.25,0.75
882,0.75,1.0,0.25,0.75
883,1.0,0.75,0.25,0.5
884,0.0,0.0,0.0,0.25
885,0.25,0.5,0.25,0.5
886,0.25,0.25,0.25,0.0
887,0.0,1.0,0.75,0.5
888,0.5,0.75,1.0,0.25
889,0.0,1.0,0.0,0.75
890,0.75,0.25,0.5,0.5
891,0.75,0.5,0.0,0.25
892,0.0,0.25,1.0,0.25
893,0.5,0.0,1.0,0.5
894,0.25,0.0,0.25,0.25
895,0.5,0.0,0.0,0.25
896,0.25,0.5,0.25,0.25
897,0.0,1.0,0.0,0.0
898,0.75,0.5,0.5,0.5
899,0.25,0.75,0.25,0.25
900,0.25,1.0,0.25,0.25
901,0.5,0.75,0.75,0.75
902,0.5,0.75,1.0,0.5
903,0.75,0.5,1.0,0.5
904,0.75,0.5,0.0,0.25
905,0.5,0.0,1.0,0.25
906,0.25,0.0,1.0,0.75
907,1.0,0.0,1.0,0.25
908,0.75,0.25,0.5,0.75
909,0.75,1.0,0.25,0.5
910,0.25,0.75,0.25,0.0
911,0.5,1.0,0.75,0.25
912,0.0,0.25,0.5,0.5
913,1.0,0.0,0.5,0.0
914,0.75,1.0,0.0,0.75
915,0.25,0.75,0.25,0.25
916,0.0,0.75,0.75,0.5
917,0.25,0.5,0.5,0.25
918,0.75,0.0,0.5,0.75
919,0.25,0.5,0.5,0.25
920,0.75,1.0,0.0,0.75
921,0.0,0.5,0.5,0.25
922,0.5,0.5,0.75,0.25
923,0.0,0.25,1.0,0.5
924,0.75,0.5,1.0,0.75
925,0.25,1.0,1.0,1.0
926,0.5,0.5,1.0,0.5
927,0.5,1.0,0.5,0.5
928,0.5,1.0,1.0,1.0
929,0.25,0.25,0.5,0.25
930,1.0,0.0,0.5,0.25
931,0.0,1.0,0.75,0.25
932,0.25,0.25,0.75,0.5
933,0.0,0.5,0.75,0.5
934,0.25,0.5,0.25,0.25
935,0.5,1.0,0.75,0.0
936,0.5,1.0,1.0,0.75
937,1.0,0.75,0.0,0.5
938,0.0,1.0,1.0,0.5
939,1.0,1.0,0.25,0.5
940,0.0,1.0,0.5,0.5
941,1.0,1.0,0.75,0.25
942,0.25,0.5,0.25,0.75
943,0.5,0.5,0.5,0.25
944,1.0,1.0,0.25,0.0
945,0.0,0.5,0.75,0.25
946,0.25,0.5,0.25,0.5
947,1.0,1.0,0.25,0.5
948,1.0,1.0,0.75,1.0
949,0.25,0.5,0.25,0.5
950,0.25,0.0,0.25,0.25
951,0.5,1.0,0.25,0.5
952,0.0,0.25,0.75,0.5
953,1.0,1.0,0.75,0.75
954,0.25,0.25,0.25,0.25
955,0.75,0.5,1.0,0.75
956,1.0,0.75,0.25,0.5
957,0.25,1.0,0.25,0.75
958,1.0,0.0,0.5,0.75
959,0.0,0.5,0.5,0.0
960,0.0,0.25,0.75,0.5
961,0.5,0.5,0.75,1.0
962,0.5,0.5,0.75,0.75
963,0.5,0.5,0.75,0.5
964,0.25,0.5,0.0,0.0
965,0.25,1.0,1.0,0.5
966,0.75,0.5,0.5,0.75
967,0.5,0.5,0.75,0.5
968,0.0,0.5,0.75,0.75
969,0.25,1.0,0.5,0.25
970,0.5,0.75,0.5,0.75
971,1.0,0.0,0.5,0.5
972,1.0,0.75,0.0,0.75
973,1.0,1.0,0.25,0.5
974,0.0,0.5,0.5,0.5
975,1.0,0.75,0.25,0.5
976,0.0,1.0,1.0,0.75
977,0.5,0.5,1.0,0.5
978,1.0,1.0,0.75,0.75
979,0.75,0.25,0.0,0.25
980,0.0,0.5,0.75,0.0
981,0.0,0.0,0.25,0.25
982,0.5,0.5,0.75,0.25
983,0.0,1.0,1.0,0.75
984,0.5,0.5,0.0,0.25
985,0.5,0.5,0.75,0.5
986,1.0,1.0,0.75,0.75
987,0.25,1.0,1.0,0.25
988,0.0,0.75,0.0,0.25
989,0.0,0.75,0.0,0.5
990,0.25,0.0,0.25,0.5
991,0.5,0.25,0.5,0.25
992,0.5,0.0,1.0,0.5
993,0.25,1.0,0.5,0.5
994,0.5,1.0,0.75,0.0
995,0.5,0.25,1.0,0.5
996,0.25,0.5,0.75,0.5
997,0.0,0.25,1.0,0.0
998,0.0,0.25,0.75,0.25
999,0.5,0.75,1.0,0.25
